item,dimension,lib_is_gov,old variable name,tang_dimension,,
stop_poverty_programs,economic,1,,,,
social_security_increase,economic,1,,,,
help_unions,economic,1,,union,,
abc_limitghg,economic,1,,,,
abolish_ccc,economic,1,,,,
abolish_WPA,economic,1,,,,
amentment_allow_regulations,economic,1,,,,
anwr_drilling,economic,1,,,,
approve_hours_law,economic,1,,,,
atomic_energy,economic,1,,,,
auto_bailout,economic,1,,,,
baby_bonus,economic,1,,,,
balanced_budget_amendment,economic,1,,,,
ban_cig_ad,economic,1,,,,
ban_comm_strike,economic,1,,union,,
ban_transp_strike,economic,1,,union,,
believein_oldage_pensions,economic,1,,,,
big_dams_govt_industry,economic,1,,,,
bush_taxcuts,economic,1,,,,
bush_taxcuts2003,economic,1,,,,
businesses_morethan_onestate,economic,1,,,,
capitalgains_1989,economic,1, ,,,
cces2006_minimumwage,economic,1,,,,
cces2006_socialsecurity,economic,1,,,,
cces2008_healthcarekids,economic,1,,,,
cces2010_cleanenergy,economic,1,,,,
cces2010_financialreform,economic,1,,,,
cces2010_healthreform,economic,1,,,,
cces2010_immigration2,economic,1,,,,
cces2010_recoveryact,economic,1,,,,
cces2012_bushtaxcuts,economic,1,,,,
chain_stores_specialtax,economic,1,,,,
childcare_for_poor,economic,1,,,,
cleanair_1990,economic,1, ,,,
college_freetuition,economic,1,,,,
college_spending,economic,1,,,,
committee_sets_minwage,economic,1,,,,
cut_entitlement_programs,economic,1,,,,
daycare_centers,economic,1,,,,
doctors_low_cost,economic,1,,,,
drivers_physical_exam,economic,1,,,,
eliminate_july1983_taxcut,economic,1,,,,
eqwlth,economic,1,,,,
expand_oil_drilling,economic,1,problematic in gallup,,,
familyleave_1992,economic,1,,,,
fedaidschools_300mil,economic,1,,,,
fedaidschools_300mil_states,economic,1,,,,
federal_gov_welfare_costs,economic,1,,,,
federal_school_spending1,economic,1,,,,
federal_school_spending2,economic,1,,,,
fixprices_autos,economic,1,,,,
fixprices_drugs,economic,1,,,,
food_stamps,economic,1,,,,
forbid_all_strikes,economic,1,,union,,
forbid_strikes_nonvitl_ndstrs,economic,1,,union,,
forbid_strikes_vital_industrs,economic,1,,union,,
fund_cancer_research,economic,1,,,,
fund_heart_research,economic,1,,,,
gastax_20cents,economic,1,,,,
gov_run_railroads,economic,1,,,,
gov_spending_relief_1939,economic,1,,,,
gov_spending_relief_1940,economic,1,,,,
government_healthcare,economic,1,,,,
government_help_poor,economic,1,,,,
government_minimumliving,economic,1,,,,
government_prevent_unionwork,economic,1,,union,,
government_provide_helthcr_pr,economic,1,,,,
government_regulations,economic,1,,,,
government_size,economic,1,,,,
government_spending_poor,economic,1,,,,
government_workers_allwd_strk,economic,1,,,,
guarantee_income_2200,economic,1,,,,
guaranteed_job_likert,economic,1,,,,
guaranteed_job_nonlikert,economic,1,,,,
guaranteed_job_scale,economic,1,,,,
guidance_councellor_schools,economic,1,,,,
health_children,economic,1,,,,
healthcare_truman_all,economic,1,,,,
healthcare_truman_knowledgeable,economic,1,,,,
healthcare_truman_knowledgebl,economic,1,,,,
healthcare1,economic,1,,,,
healthcare2,economic,1,,,,
healthcare3,economic,1,,,,
helppoor,economic,1,,,,
helpsick,economic,1,,,,
higher_taxes_bigcompanies,economic,1,,,,
highway_tax,economic,1,,,,
hlthcare,economic,1,,,,
income_tax_cut_1980,economic,1,,,,
income_tax_cut1963_debt,economic,1,,,,
